issue_id,category,label_de,label_en,direction,dataset,variable,question_de,question_en,response_type,binary_rule,n_valid_approx,years_approx,notes
immigration_restrict,immigration,Zuwanderung einschränken,Restrict immigration,higher=more restrictive,ZA6832_tracking0923,e0124,"Manche sind dafür, die Zuwanderung von Ausländern nach Deutschland zu erleichtern. Andere sind dafür, die Zuwanderung von Ausländern nach Deutschland völlig zu unterbinden. Was meinen Sie?","Some are in favor of making immigration of foreigners to Germany easier. Others want to completely stop immigration. What do you think?",scale_1_11,y=1 if >= 7,35398,2009-2023,Core position issue
immigration_restrict,immigration,Zuwanderung einschränken,Restrict immigration,higher=more restrictive,ZA10100_cross2025,q43,"Manche sind dafür, die Zuwanderung von Ausländern nach Deutschland zu erleichtern. Andere sind dafür, die Zuwanderung von Ausländern nach Deutschland völlig zu unterbinden. Was meinen Sie?","Some are in favor of making immigration of foreigners to Germany easier. Others want to completely stop immigration. What do you think?",scale_1_11,y=1 if >= 7,5500,2025,
immigration_restrict,immigration,Zuwanderung einschränken,Restrict immigration,higher=more restrictive,ZA10101_rcs2025,pre032,"Manche sind dafür, die Zuwanderung von Ausländern nach Deutschland zu erleichtern. Andere sind dafür, die Zuwanderung von Ausländern nach Deutschland völlig zu unterbinden. Was meinen Sie?","Some are in favor of making immigration of foreigners to Germany easier. Others want to completely stop immigration. What do you think?",scale_1_11,y=1 if >= 7,6500,2025,
immigration_restrict,immigration,Zuwanderung einschränken,Restrict immigration,higher=more restrictive,ZA6835_cross_cum0921,v88,"Manche sind dafür, die Zuwanderung von Ausländern nach Deutschland zu erleichtern. Andere sind dafür, die Zuwanderung von Ausländern nach Deutschland völlig zu unterbinden. Was meinen Sie?","Some are in favor of making immigration of foreigners to Germany easier. Others want to completely stop immigration. What do you think?",scale_1_11,y=1 if >= 7,15000,2009-2021,Cumulation
immigration_culture_threat,immigration,Kultur durch Zuwanderung bedroht,Culture threatened by immigration,higher=agree,ZA10100_cross2025,q125d,"Die deutsche Kultur wird durch die vielen Ausländer gefährdet.","German culture is endangered by the many foreigners.",scale_1_5,y=1 if <= 2,5500,2025,
immigration_culture_adapt,immigration,Anpassung an deutsche Kultur,Immigrants should adapt to German culture,higher=agree,ZA6832_tracking0923,e0113a,"In Deutschland lebende Ausländer sollten ihren Lebensstil an den der Deutschen anpassen.","Foreigners living in Germany should adapt their lifestyle to that of Germans.",scale_1_5,y=1 if >= 4,35053,2009-2023,Strong agree/agree
immigration_culture_adapt,immigration,Anpassung an deutsche Kultur,Immigrants should adapt to German culture,higher=agree,ZA10100_cross2025,q27a,"In Deutschland lebende Ausländer sollten ihren Lebensstil an den der Deutschen anpassen.","Foreigners living in Germany should adapt their lifestyle to that of Germans.",scale_1_5,y=1 if <= 2,5500,2025,
immigration_econ_good,immigration,Zuwanderung gut für Wirtschaft,Immigration good for economy,higher=agree,ZA10100_cross2025,q125c,"Die Zuwanderung ist im Großen und Ganzen gut für die deutsche Wirtschaft.","Immigration is on the whole good for the German economy.",scale_1_5,y=1 if <= 2,5500,2025,
climate_ego,climate,Klimaschutz vs. Wirtschaft,Climate protection vs. economy,higher=prioritize climate,ZA6832_tracking0923,e0130_2,"Manche meinen, der Kampf gegen den Klimawandel müsse Vorrang haben, auch wenn das der Wirtschaft schadet. Andere meinen, dass das Wirtschaftswachstum Vorrang haben muss, auch wenn das den Kampf gegen den Klimawandel erschwert.","Some think the fight against climate change should take priority even if it hurts the economy. Others think economic growth should take priority even if it makes fighting climate change harder.",scale_1_11,y=1 if <= 5,25262,2017-2023,Phase 2 of tracking
climate_ego,climate,Klimaschutz vs. Wirtschaft,Climate protection vs. economy,higher=prioritize climate,ZA10100_cross2025,q48,"Manche meinen, der Kampf gegen den Klimawandel müsse Vorrang haben, auch wenn das der Wirtschaft schadet. Andere meinen, dass das Wirtschaftswachstum Vorrang haben muss, auch wenn das den Kampf gegen den Klimawandel erschwert.","Some think the fight against climate change should take priority even if it hurts the economy. Others think economic growth should take priority even if it makes fighting climate change harder.",scale_1_11,y=1 if <= 5,5500,2025,
climate_ego,climate,Klimaschutz vs. Wirtschaft,Climate protection vs. economy,higher=prioritize climate,ZA10101_rcs2025,pre036,"Manche meinen, der Kampf gegen den Klimawandel müsse Vorrang haben, auch wenn das der Wirtschaft schadet. Andere meinen, dass das Wirtschaftswachstum Vorrang haben muss, auch wenn das den Kampf gegen den Klimawandel erschwert.","Some think the fight against climate change should take priority even if it hurts the economy. Others think economic growth should take priority even if it makes fighting climate change harder.",scale_1_11,y=1 if <= 5,6500,2025,
climate_ego,climate,Klimaschutz vs. Wirtschaft,Climate protection vs. economy,higher=prioritize climate,ZA6835_cross_cum0921,v85,"Manche meinen, der Kampf gegen den Klimawandel müsse Vorrang haben, auch wenn das der Wirtschaft schadet. Andere meinen, dass das Wirtschaftswachstum Vorrang haben muss, auch wenn das den Kampf gegen den Klimawandel erschwert.","Some think the fight against climate change should take priority even if it hurts the economy. Others think economic growth should take priority even if it makes fighting climate change harder.",scale_1_11,y=1 if <= 5,8000,2017-2021,Available from 2017
fossil_fuel_levy,climate,Abgaben auf fossile Brennstoffe,Increase fossil fuel levies,higher=support,ZA10100_cross2025,q27h,"Die Abgaben auf fossile Brennstoffe wie Öl, Gas und Kohle sollten erhöht werden.","Levies on fossil fuels such as oil, gas, and coal should be increased.",scale_1_5,y=1 if <= 2,5500,2025,
taxes_vs_spending,economy,Steuern vs. Sozialleistungen,Taxes vs. social spending,higher=more spending,ZA6832_tracking0923,e0121,"Manche sind dafür, die Steuern und Abgaben zu senken, auch wenn das weniger Sozialleistungen bedeutet. Andere sind dafür, die Sozialleistungen auszubauen, auch wenn das höhere Steuern und Abgaben bedeutet. Was meinen Sie?","Some favor cutting taxes and contributions even if it means fewer social benefits. Others favor expanding social benefits even if it means higher taxes. What do you think?",scale_1_11,y=1 if >= 7,29390,2009-2023,
taxes_vs_spending,economy,Steuern vs. Sozialleistungen,Taxes vs. social spending,higher=more spending,ZA10100_cross2025,q40,"Manche sind dafür, die Steuern und Abgaben zu senken, auch wenn das weniger Sozialleistungen bedeutet. Andere sind dafür, die Sozialleistungen auszubauen, auch wenn das höhere Steuern und Abgaben bedeutet. Was meinen Sie?","Some favor cutting taxes and contributions even if it means fewer social benefits. Others favor expanding social benefits even if it means higher taxes. What do you think?",scale_1_11,y=1 if >= 7,5500,2025,
taxes_vs_spending,economy,Steuern vs. Sozialleistungen,Taxes vs. social spending,higher=more spending,ZA10101_rcs2025,pre029,"Manche sind dafür, die Steuern und Abgaben zu senken, auch wenn das weniger Sozialleistungen bedeutet. Andere sind dafür, die Sozialleistungen auszubauen, auch wenn das höhere Steuern und Abgaben bedeutet. Was meinen Sie?","Some favor cutting taxes and contributions even if it means fewer social benefits. Others favor expanding social benefits even if it means higher taxes. What do you think?",scale_1_11,y=1 if >= 7,6500,2025,
taxes_vs_spending,economy,Steuern vs. Sozialleistungen,Taxes vs. social spending,higher=more spending,ZA6835_cross_cum0921,v80,"Manche sind dafür, die Steuern und Abgaben zu senken, auch wenn das weniger Sozialleistungen bedeutet. Andere sind dafür, die Sozialleistungen auszubauen, auch wenn das höhere Steuern und Abgaben bedeutet. Was meinen Sie?","Some favor cutting taxes and contributions even if it means fewer social benefits. Others favor expanding social benefits even if it means higher taxes. What do you think?",scale_1_11,y=1 if >= 7,15000,2009-2021,
income_reduce,economy,Einkommensunterschiede verringern,Reduce income differences,higher=agree,ZA6832_tracking0923,e0113d,"Die Einkommensunterschiede zwischen Arm und Reich in Deutschland sollten verringert werden.","Income differences between rich and poor in Germany should be reduced.",scale_1_5,y=1 if >= 4,34694,2009-2023,
income_reduce,economy,Einkommensunterschiede verringern,Reduce income differences,higher=agree,ZA10100_cross2025,q27d,"Die Einkommensunterschiede zwischen Arm und Reich in Deutschland sollten verringert werden.","Income differences between rich and poor in Germany should be reduced.",scale_1_5,y=1 if <= 2,5500,2025,
higher_earners_tax,economy,Besserverdienende mehr Steuern,Higher earners pay more tax,higher=agree,ZA6832_tracking0923,e0113i,"Besserverdienende sollten mehr Steuern bezahlen als bisher.","Higher earners should pay more taxes than they currently do.",scale_1_5,y=1 if >= 4,34577,2009-2023,
higher_earners_tax,economy,Besserverdienende mehr Steuern,Higher earners pay more tax,higher=agree,ZA10100_cross2025,q27l,"Besserverdienende sollten mehr Steuern bezahlen als bisher.","Higher earners should pay more taxes than they currently do.",scale_1_5,y=1 if <= 2,5500,2025,
state_out_economy,economy,Staat aus Wirtschaft heraushalten,Keep state out of economy,higher=agree,ZA6832_tracking0923,e0113c,"Der Staat sollte sich aus der Wirtschaft heraushalten.","The state should stay out of the economy.",scale_1_5,y=1 if >= 4,34215,2009-2023,
state_out_economy,economy,Staat aus Wirtschaft heraushalten,Keep state out of economy,higher=agree,ZA10100_cross2025,q27c,"Der Staat sollte sich aus der Wirtschaft heraushalten.","The state should stay out of the economy.",scale_1_5,y=1 if <= 2,5500,2025,
debt_brake,economy,Schuldenbremse lockern,Loosen debt brake,higher=support loosening,ZA10100_cross2025,q27j,"Die Schuldenbremse sollte gelockert werden.","The debt brake should be loosened.",scale_1_5,y=1 if <= 2,5500,2025,
debt_brake,economy,Schuldenbremse lockern,Loosen debt brake,higher=support loosening,ZA10101_rcs2025,pre038a,"Die Schuldenbremse sollte gelockert werden.","The debt brake should be loosened.",scale_1_5,y=1 if <= 2,6500,2025,
debt_brake,economy,Schuldenbremse lockern,Loosen debt brake,higher=support loosening,ZA8974_allbus,v94,"An der Schuldenbremse sollte festgehalten werden.","The debt brake should be maintained.",binary_yn,y=1 if >= 2,7029,2023-2024,ALLBUS asks reverse: keep debt brake; recoded so y=1 means loosen
buergergeld_cut,social,Bürgergeld senken,Cut citizen income,higher=support cut,ZA10100_cross2025,q27k,"Das Bürgergeld sollte gesenkt werden.","Citizen income (Bürgergeld) should be cut.",scale_1_5,y=1 if <= 2,5500,2025,
buergergeld_cut,social,Bürgergeld senken,Cut citizen income,higher=support cut,ZA10101_rcs2025,pre038c,"Das Bürgergeld sollte gesenkt werden.","Citizen income (Bürgergeld) should be cut.",scale_1_5,y=1 if <= 2,6500,2025,
rent_control,social,Mietpreise regulieren,Regulate rents more strongly,higher=support,ZA10100_cross2025,q27i,"Die Mietpreise sollten stärker reguliert werden.","Rents should be regulated more strictly.",scale_1_5,y=1 if <= 2,5500,2025,
rent_control,social,Mietpreise regulieren,Regulate rents more strongly,higher=support,ZA10101_rcs2025,pre038b,"Die Mietpreise sollten stärker reguliert werden.","Rents should be regulated more strictly.",scale_1_5,y=1 if <= 2,6500,2025,
eu_integration,eu,Europäische Einigung,Advance EU integration,higher=support,ZA6832_tracking0923,e0113e,"EU-Staaten sollten finanziell stärker unterstützt werden.","EU member states should receive more financial support.",scale_1_5,y=1 if >= 4,33725,2009-2023,Financial solidarity framing
eu_integration,eu,Europäische Einigung,Advance EU integration,higher=support,ZA10100_cross2025,q27f,"Die europäische Einigung sollte weiter vorangetrieben werden.","European integration should be advanced further.",scale_1_5,y=1 if <= 2,5500,2025,
eu_integration,eu,Europäische Einigung,Advance EU integration,higher=support,ZA8974_allbus,v116,"Ist die EU-Mitgliedschaft Deutschlands eine gute Sache?","Is Germany's EU membership a good thing?",binary_yn,y=1 if <= 1,3015,2023-2024,Different framing: membership benefit
speed_limit,transport,Tempolimit auf Autobahnen,Highway speed limit,higher=support,ZA10100_cross2025,q27m,"Auf Autobahnen sollte generell ein Tempolimit gelten.","A general speed limit should apply on highways.",scale_1_5,y=1 if <= 2,5500,2025,
speed_limit,transport,Tempolimit auf Autobahnen,Highway speed limit,higher=support,ZA10101_rcs2025,pre038e,"Auf Autobahnen sollte generell ein Tempolimit gelten.","A general speed limit should apply on highways.",scale_1_5,y=1 if <= 2,6500,2025,
ukraine_arms,foreign,Waffenlieferung Ukraine beenden,End arms deliveries to Ukraine,higher=support ending,ZA10100_cross2025,q27e,"Die Waffenlieferungen an die Ukraine sollten beendet werden.","Arms deliveries to Ukraine should be ended.",scale_1_5,y=1 if <= 2,5500,2025,
ukraine_arms,foreign,Waffenlieferung Ukraine beenden,End arms deliveries to Ukraine,higher=support ending,ZA10101_rcs2025,pre034e,"Die Waffenlieferungen an die Ukraine sollten beendet werden.","Arms deliveries to Ukraine should be ended.",scale_1_5,y=1 if <= 2,6500,2025,
ukraine_arms,foreign,Waffenlieferung Ukraine beenden,End arms deliveries to Ukraine,higher=support ending,ZA6832_tracking0923,e0113aa,"Deutschland sollte der Ukraine Waffen liefern.","Germany should deliver weapons to Ukraine.",scale_1_5,y=1 if <= 2,1043,2022-2023,Reverse coding: support deliveries; y=1 means oppose deliveries
