id,year,treat_no_well_perform_2014,own_econ_bad,own_econ_retrospect_worse,own_econ_gov_responsible_not,own_econ_prospect_worse,gen_econ_bad,gen_econ_retrospect_worse,gen_econ_gov_responsible_not,gen_econ_prospect_worse,cdu_performance_satisfied,csu_performance_satisfied,spd_performance_satisfied
1154,2009,,4,4,1,3,3,5,-94,4,7,8,-94
2285,2010,,5,5,4,4,3,4,-94,2,4,2,-94
3421,2010,,4,4,2,4,4,4,3,3,7,3,-94
4559,2010,,3,4,2,4,3,4,2,3,2,3,-94
5707,2010,1,5,5,2,3,4,5,2,2,3,3,-94
6851,2011,,2,1,5,2,3,2,3,3,5,5,-94
7988,2011,,2,3,2,3,2,1,1,3,11,11,-94
9132,2011,1,3,5,5,3,3,4,3,2,2,2,-94
10290,2011,1,4,4,1,3,4,4,1,4,6,7,-94
11404,2012,,1,1,5,3,2,2,4,2,4,3,-94
12420,2012,,3,4,2,3,3,4,2,3,2,2,-94
13495,2013,,3,3,2,3,3,3,2,3,1,1,-94
17638,2014,1,2,2,3,2,2,2,4,3,5,4,4
18661,2014,,2,2,2,2,2,2,2,3,8,6,8
19705,2014,,4,5,2,5,3,4,2,5,8,-99,8
20716,2014,,3,3,2,3,3,3,2,3,1,1,1
21735,2015,,2,2,5,2,3,3,4,3,4,4,1
22764,2015,,2,3,5,3,2,3,4,3,9,1,9
23783,2015,,4,4,1,4,3,3,1,4,9,7,7
24810,2015,1,2,2,3,3,3,2,2,4,4,4,2
25841,2016,,3,2,5,3,3,3,3,3,1,1,1
26856,2016,,2,2,3,3,1,2,2,2,9,3,9
27879,2016,1,2,4,3,4,3,3,3,4,6,6,6
28902,2016,1,2,3,3,3,2,2,2,2,8,8,3
29924,2017,,2,3,2,2,2,2,2,3,9,8,9
30932,2017,,2,3,5,3,1,2,2,2,9,3,7
32016,2017,,2,2,2,1,1,1,2,1,11,11,9
33101,2017,,1,3,2,3,2,2,4,2,3,2,5
34117,2018,,2,3,4,3,3,3,2,4,3,4,2
35223,2018,,3,3,1,3,3,2,3,4,10,11,4
36325,2018,,2,3,4,3,2,3,2,3,9,11,9
37431,2019,,2,1,4,1,2,2,2,2,9,8,9
38531,2019,,5,5,2,3,3,5,2,4,1,7,1
39632,2019,,4,3,2,3,3,4,2,4,6,6,6
40709,2020,,4,3,3,2,3,3,2,4,2,10,4
41802,2020,,5,5,3,3,4,5,3,3,7,7,7
42895,2020,0,1,3,4,3,2,3,3,2,4,1,7
43973,2021,,2,2,3,2,2,4,4,2,3,1,9
45092,2021,1,2,2,5,2,3,4,2,2,6,6,7
46187,2021,,3,4,3,2,3,3,3,3,6,3,5
47875,2022,,3,1,5,3,2,3,4,2,-94,-94,6
48987,2022,,4,5,1,3,5,4,2,3,-94,-94,8
