OID_,WKR_NR,WKR_NAME,AGS,GEN,AREA,PERCENTAGE
1,1,Flensburg – Schleswig,01001,Flensburg,56863126.329496793448925,2.674578909933881
2,1,Flensburg – Schleswig,01051,Dithmarschen,17133.781794434482435,0.000805893984254
3,1,Flensburg – Schleswig,01054,Nordfriesland,101581.404505153404898,0.004777920238797
4,1,Flensburg – Schleswig,01058,Rendsburg-Eckernförde,100471.181665242547751,0.004725700482610
5,1,Flensburg – Schleswig,01059,Schleswig-Flensburg,2068975848.600774526596069,97.315070890847323
6,2,Nordfriesland – Dithmarschen Nord,01051,Dithmarschen,695702504.724081039428711,25.008830473552273
7,2,Nordfriesland – Dithmarschen Nord,01054,Nordfriesland,2085441118.322016000747681,74.966588500892726
8,2,Nordfriesland – Dithmarschen Nord,01058,Rendsburg-Eckernförde,4445.295057325948619,0.000159797657388
9,2,Nordfriesland – Dithmarschen Nord,01059,Schleswig-Flensburg,64493.976065128816117,0.002318403201118
10,3,Steinburg – Dithmarschen Süd,01004,Neumünster,6421.568623297094746,0.000319117605077
11,3,Steinburg – Dithmarschen Süd,01051,Dithmarschen,744964760.644975304603577,37.020763029964940
12,3,Steinburg – Dithmarschen Süd,01056,Pinneberg,65923.441496766099590,0.003276042350860
13,3,Steinburg – Dithmarschen Süd,01058,Rendsburg-Eckernförde,307040.267341239901725,0.015258258616228
14,3,Steinburg – Dithmarschen Süd,01060,Segeberg,211138433.183335572481155,10.492450535017227
15,3,Steinburg – Dithmarschen Süd,01061,Steinburg,1054498368.197157144546509,52.402927315263980
16,3,Steinburg – Dithmarschen Süd,03359,Stade,45615.935266616797890,0.002266867936724
17,4,Rendsburg-Eckernförde,01002,Kiel,86930.493549932012684,0.004018012309503
18,4,Rendsburg-Eckernförde,01004,Neumünster,61646.620959777224925,0.002849367025777
19,4,Rendsburg-Eckernförde,01051,Dithmarschen,125587.167707109765615,0.005804761541737
20,4,Rendsburg-Eckernförde,01057,Plön,20160.295655766662094,0.000931828554057
21,4,Rendsburg-Eckernförde,01058,Rendsburg-Eckernförde,2162739730.179457187652588,99.963942492993496
22,4,Rendsburg-Eckernförde,01059,Schleswig-Flensburg,216326.604983266501222,0.009998826950138
23,4,Rendsburg-Eckernförde,01060,Segeberg,889.848985559704033,0.000041129689152
24,4,Rendsburg-Eckernförde,01061,Steinburg,267162.413631886651274,0.012348507672891
25,5,Kiel,01002,Kiel,119468761.424916714429855,83.529707985755124
26,5,Kiel,01057,Plön,34695.763131641455402,0.024258449892362
27,5,Kiel,01058,Rendsburg-Eckernförde,23521176.435996774584055,16.445445451571146
28,6,Plön – Neumünster,01002,Kiel,39373.819456172415812,0.003027084163580
29,6,Plön – Neumünster,01004,Neumünster,71753612.452780172228813,5.516463145701382
30,6,Plön – Neumünster,01055,Ostholstein,115942.493113746168092,0.008913732262660
31,6,Plön – Neumünster,01057,Plön,1082364572.858286619186401,83.212873502568996
32,6,Plön – Neumünster,01058,Rendsburg-Eckernförde,110866.689156826105318,0.008523501241447
33,6,Plön – Neumünster,01060,Segeberg,146330796.243293374776840,11.250004243179943
34,7,Pinneberg,01056,Pinneberg,662938730.864620566368103,99.989981575816373
35,7,Pinneberg,01060,Segeberg,7599.872834475718264,0.001146276585329
36,7,Pinneberg,01061,Steinburg,18570.654499131916964,0.002800981923016
37,7,Pinneberg,02000,Hamburg,33581.682458028262772,0.005065071105265
38,7,Pinneberg,03359,Stade,5491.287963852407302,0.000828242123698
39,8,Segeberg – Stormarn-Mitte,01053,Herzogtum Lauenburg,13187.262901950418382,0.000988601085946
40,8,Segeberg – Stormarn-Mitte,01055,Ostholstein,138578.626606793288374,0.010388735082554
41,8,Segeberg – Stormarn-Mitte,01056,Pinneberg,17308.789954603573278,0.001297576962919
42,8,Segeberg – Stormarn-Mitte,01057,Plön,125075.688566354452632,0.009376468980825
43,8,Segeberg – Stormarn-Mitte,01060,Segeberg,987055757.364239335060120,73.995976335244862
44,8,Segeberg – Stormarn-Mitte,01062,Stormarn,346532675.169578731060028,25.978292958555659
45,8,Segeberg – Stormarn-Mitte,02000,Hamburg,49080.454554604293662,0.003679382979786
46,9,Ostholstein – Stormarn-Nord,01003,Lübeck,66849.282789028991829,0.004357622627852
47,9,Ostholstein – Stormarn-Nord,01053,Herzogtum Lauenburg,1075.389234771952488,0.000070100085860
48,9,Ostholstein – Stormarn-Nord,01055,Ostholstein,1392924365.061733245849609,90.798860942693210
49,9,Ostholstein – Stormarn-Nord,01057,Plön,166548.124738917395007,0.010856569385779
50,9,Ostholstein – Stormarn-Nord,01060,Segeberg,131149.512964715628186,0.008549083273346
51,9,Ostholstein – Stormarn-Nord,01062,Stormarn,140776716.463158875703812,9.176640040710902
52,10,Herzogtum Lauenburg – Stormarn-Süd,01003,Lübeck,68321.001877282542409,0.005066886597342
53,10,Herzogtum Lauenburg – Stormarn-Süd,01053,Herzogtum Lauenburg,1070098380.814874887466431,79.361645681476304
54,10,Herzogtum Lauenburg – Stormarn-Süd,01062,Stormarn,278157477.921207606792450,20.628977299849673
55,10,Herzogtum Lauenburg – Stormarn-Süd,02000,Hamburg,41549.323970107085188,0.003081420163172
56,10,Herzogtum Lauenburg – Stormarn-Süd,03355,Lüneburg,604.931422604072395,0.000044863494874
57,10,Herzogtum Lauenburg – Stormarn-Süd,13074,Nordwestmecklenburg,5031.501705476342067,0.000373150976354
58,10,Herzogtum Lauenburg – Stormarn-Süd,13076,Ludwigslust-Parchim,10931.823137896950357,0.000810736180968
59,11,Lübeck,01003,Lübeck,211441679.830294996500015,52.381846542078357
60,11,Lübeck,01053,Herzogtum Lauenburg,191992191.815113693475723,47.563496170709215
61,11,Lübeck,01055,Ostholstein,152259.536011649121065,0.037720262420974
62,11,Lübeck,01062,Stormarn,65071.694972550372768,0.016120641602076
