dataset,variable,label,n_valid,n_total
ZA10100_cross2025,za_nr,ZA-Studiennummer,7337,7337
ZA10100_cross2025,version,GESIS Archiv Version,0,7337
ZA10100_cross2025,doi,Digital Object Identifier,0,7337
ZA10100_cross2025,field_start,Beginn Erhebungszeitraum,0,7337
ZA10100_cross2025,field_end,Ende Erhebungszeitraum,0,7337
ZA10100_cross2025,sample,Stichprobe,7337,7337
ZA10100_cross2025,lfdn,Laufende Nummer,7337,7337
ZA10100_cross2025,mode,Teilnahmemodus,7337,7337
ZA10100_cross2025,vpoint,Virtueller Samplepoint,7337,7337
ZA10100_cross2025,bula,Bundesland,7337,7337
ZA10100_cross2025,ostwest,Ost/West (Zuordnung von Berlin zu Ostdeutschland),7337,7337
ZA10100_cross2025,ostwest2,Ost/West (genaue Zuordnung von Berlin zu Ost- und Westdeutschland),7323,7337
ZA10100_cross2025,wknr,Wahlkreis,7337,7337
ZA10100_cross2025,veri_flag,Verifikation der Zielperson,7337,7337
ZA10100_cross2025,intyear,"Interview: Datum, Jahr",7337,7337
ZA10100_cross2025,intmon,"Interview: Datum, Monat",7073,7337
ZA10100_cross2025,intday,"Interview: Datum, Tag",7073,7337
ZA10100_cross2025,intdatestart,"Interview: Datum, Start",7073,7337
ZA10100_cross2025,intdateend,"Interview: Ende, Datum",7054,7337
ZA10100_cross2025,intstart_c,"Interview: Start, CAWI",0,7337
ZA10100_cross2025,intstart_p,"Interview: Start, PAPI",0,7337
ZA10100_cross2025,intend_c,"Interview: Ende, CAWI",0,7337
ZA10100_cross2025,intend_p,"Interview: Ende, PAPI",0,7337
ZA10100_cross2025,intdur_c,"Interview: Dauer, gesamt, CAWI, Minuten",4845,7337
ZA10100_cross2025,intdur_p,"Interview: Dauer, gesamt, PAPI, Minuten",1306,7337
ZA10100_cross2025,intdur_cont,"Interview: Dauer, inhaltlicher Teil, CAWI, Minuten",4975,7337
ZA10100_cross2025,intdur_socio,"Interview: Dauer, Soziodemographie, CAWI, Minuten",5265,7337
ZA10100_cross2025,lastscreen,Interview: letzter angezeigter Screen,0,7337
ZA10100_cross2025,intdatelast,"Interview: zuletzt aktiv, Datum, CAWI",5492,7337
ZA10100_cross2025,intlast,"Interview: zuletzt aktiv, Uhrzeit, CAWI",0,7337
ZA10100_cross2025,intdate_flag,Interview: Startdatum und Enddatum nicht gleicher Tag,6812,7337
ZA10100_cross2025,intstatus,"Interviewstatus: Anteil beantworteter Fragen, kategorial",7337,7337
ZA10100_cross2025,intstatus_prc,"Interviewstatus: Anteil beantworteter Fragen, prozentual",7337,7337
ZA10100_cross2025,w_ow_c,Gewicht: Ost/West CAWI (MZ2023),5492,7337
ZA10100_cross2025,w_ow_p,Gewicht: Ost/West PAPI (MZ2023),1845,7337
ZA10100_cross2025,w_ow,Gewicht: Ost/West (MZ2023),7337,7337
ZA10100_cross2025,w_ipfges_c,"Sozial- und regionalstrukturelles Gewicht, gesamt, CAWI (MZ2023)",5331,7337
ZA10100_cross2025,w_ipfges_p,"Sozial- und regionalstrukturelles Gewicht, gesamt, PAPI (MZ2023)",1757,7337
ZA10100_cross2025,w_ipfges,"Sozial- und regionalstrukturelles Gewicht, gesamt (MZ2023)",7088,7337
ZA10100_cross2025,w_ipfost_c,"Sozial- und regionalstrukturelles Gewicht, Ost, CAWI (MZ2023)",1758,7337
ZA10100_cross2025,w_ipfost_p,"Sozial- und regionalstrukturelles Gewicht, Ost, PAPI (MZ2023)",732,7337
ZA10100_cross2025,w_ipfost,"Sozial- und regionalstrukturelles Gewicht, Ost (MZ2023)",2490,7337
