state_code,estimate,pop,issue_id,state_name
01,0.4606,2313578,immigration_restrict,Schleswig-Holstein
02,0.3566,1431449,immigration_restrict,Hamburg
03,0.4704,6204994,immigration_restrict,Niedersachsen
04,0.4332,550759,immigration_restrict,Bremen
05,0.4688,14256301,immigration_restrict,Nordrhein-Westfalen
06,0.4699,4910495,immigration_restrict,Hessen
07,0.4747,3149298,immigration_restrict,Rheinland-Pfalz
08,0.4671,8784086,immigration_restrict,Baden-Württemberg
09,0.5143,10136201,immigration_restrict,Bayern
10,0.5075,809696,immigration_restrict,Saarland
11,0.4189,2877040,immigration_restrict,Berlin
12,0.5519,1973635,immigration_restrict,Brandenburg
13,0.5338,1265934,immigration_restrict,Mecklenburg-Vorpommern
14,0.571,3118235,immigration_restrict,Sachsen
15,0.5939,1708066,immigration_restrict,Sachsen-Anhalt
16,0.5877,1614194,immigration_restrict,Thüringen
01,0.4085,2313578,immigration_culture_adapt,Schleswig-Holstein
02,0.3514,1431449,immigration_culture_adapt,Hamburg
03,0.4149,6204994,immigration_culture_adapt,Niedersachsen
04,0.3659,550759,immigration_culture_adapt,Bremen
05,0.4074,14256301,immigration_culture_adapt,Nordrhein-Westfalen
06,0.4065,4910495,immigration_culture_adapt,Hessen
07,0.431,3149298,immigration_culture_adapt,Rheinland-Pfalz
08,0.4267,8784086,immigration_culture_adapt,Baden-Württemberg
09,0.4416,10136201,immigration_culture_adapt,Bayern
10,0.434,809696,immigration_culture_adapt,Saarland
11,0.3632,2877040,immigration_culture_adapt,Berlin
12,0.4568,1973635,immigration_culture_adapt,Brandenburg
13,0.4713,1265934,immigration_culture_adapt,Mecklenburg-Vorpommern
14,0.4852,3118235,immigration_culture_adapt,Sachsen
15,0.4848,1708066,immigration_culture_adapt,Sachsen-Anhalt
16,0.4863,1614194,immigration_culture_adapt,Thüringen
01,0.5176,2313578,climate_ego,Schleswig-Holstein
02,0.5659,1431449,climate_ego,Hamburg
03,0.5125,6204994,climate_ego,Niedersachsen
04,0.5395,550759,climate_ego,Bremen
05,0.5154,14256301,climate_ego,Nordrhein-Westfalen
06,0.5136,4910495,climate_ego,Hessen
07,0.4945,3149298,climate_ego,Rheinland-Pfalz
08,0.4927,8784086,climate_ego,Baden-Württemberg
09,0.4864,10136201,climate_ego,Bayern
10,0.4842,809696,climate_ego,Saarland
11,0.538,2877040,climate_ego,Berlin
12,0.4438,1973635,climate_ego,Brandenburg
13,0.4318,1265934,climate_ego,Mecklenburg-Vorpommern
14,0.401,3118235,climate_ego,Sachsen
15,0.4194,1708066,climate_ego,Sachsen-Anhalt
16,0.4108,1614194,climate_ego,Thüringen
01,0.3443,2313578,taxes_vs_spending,Schleswig-Holstein
02,0.4409,1431449,taxes_vs_spending,Hamburg
03,0.3305,6204994,taxes_vs_spending,Niedersachsen
04,0.3623,550759,taxes_vs_spending,Bremen
05,0.3319,14256301,taxes_vs_spending,Nordrhein-Westfalen
06,0.3252,4910495,taxes_vs_spending,Hessen
07,0.3132,3149298,taxes_vs_spending,Rheinland-Pfalz
08,0.3095,8784086,taxes_vs_spending,Baden-Württemberg
09,0.3066,10136201,taxes_vs_spending,Bayern
10,0.3218,809696,taxes_vs_spending,Saarland
11,0.4423,2877040,taxes_vs_spending,Berlin
12,0.3353,1973635,taxes_vs_spending,Brandenburg
13,0.3601,1265934,taxes_vs_spending,Mecklenburg-Vorpommern
14,0.3283,3118235,taxes_vs_spending,Sachsen
15,0.3154,1708066,taxes_vs_spending,Sachsen-Anhalt
16,0.3036,1614194,taxes_vs_spending,Thüringen
01,0.573,2313578,income_reduce,Schleswig-Holstein
02,0.5855,1431449,income_reduce,Hamburg
03,0.5892,6204994,income_reduce,Niedersachsen
04,0.5926,550759,income_reduce,Bremen
05,0.5543,14256301,income_reduce,Nordrhein-Westfalen
06,0.5569,4910495,income_reduce,Hessen
07,0.5564,3149298,income_reduce,Rheinland-Pfalz
08,0.5455,8784086,income_reduce,Baden-Württemberg
09,0.5657,10136201,income_reduce,Bayern
10,0.5958,809696,income_reduce,Saarland
11,0.6434,2877040,income_reduce,Berlin
12,0.6556,1973635,income_reduce,Brandenburg
13,0.6557,1265934,income_reduce,Mecklenburg-Vorpommern
14,0.657,3118235,income_reduce,Sachsen
15,0.6614,1708066,income_reduce,Sachsen-Anhalt
16,0.6662,1614194,income_reduce,Thüringen
01,0.6936,2313578,higher_earners_tax,Schleswig-Holstein
02,0.7056,1431449,higher_earners_tax,Hamburg
03,0.6985,6204994,higher_earners_tax,Niedersachsen
04,0.7127,550759,higher_earners_tax,Bremen
05,0.6847,14256301,higher_earners_tax,Nordrhein-Westfalen
06,0.6852,4910495,higher_earners_tax,Hessen
07,0.6896,3149298,higher_earners_tax,Rheinland-Pfalz
08,0.6666,8784086,higher_earners_tax,Baden-Württemberg
09,0.6734,10136201,higher_earners_tax,Bayern
10,0.6987,809696,higher_earners_tax,Saarland
11,0.7123,2877040,higher_earners_tax,Berlin
12,0.7152,1973635,higher_earners_tax,Brandenburg
13,0.7224,1265934,higher_earners_tax,Mecklenburg-Vorpommern
14,0.7055,3118235,higher_earners_tax,Sachsen
15,0.7232,1708066,higher_earners_tax,Sachsen-Anhalt
16,0.7124,1614194,higher_earners_tax,Thüringen
01,0.1493,2313578,state_out_economy,Schleswig-Holstein
02,0.1402,1431449,state_out_economy,Hamburg
03,0.1469,6204994,state_out_economy,Niedersachsen
04,0.1449,550759,state_out_economy,Bremen
05,0.1491,14256301,state_out_economy,Nordrhein-Westfalen
06,0.1499,4910495,state_out_economy,Hessen
07,0.1527,3149298,state_out_economy,Rheinland-Pfalz
08,0.1578,8784086,state_out_economy,Baden-Württemberg
09,0.1589,10136201,state_out_economy,Bayern
10,0.1553,809696,state_out_economy,Saarland
11,0.1478,2877040,state_out_economy,Berlin
12,0.1571,1973635,state_out_economy,Brandenburg
13,0.1586,1265934,state_out_economy,Mecklenburg-Vorpommern
14,0.1662,3118235,state_out_economy,Sachsen
15,0.1643,1708066,state_out_economy,Sachsen-Anhalt
16,0.1641,1614194,state_out_economy,Thüringen
01,0.6963,2313578,eu_integration,Schleswig-Holstein
02,0.7607,1431449,eu_integration,Hamburg
03,0.6991,6204994,eu_integration,Niedersachsen
04,0.7099,550759,eu_integration,Bremen
05,0.721,14256301,eu_integration,Nordrhein-Westfalen
06,0.705,4910495,eu_integration,Hessen
07,0.6838,3149298,eu_integration,Rheinland-Pfalz
08,0.6911,8784086,eu_integration,Baden-Württemberg
09,0.6849,10136201,eu_integration,Bayern
10,0.6778,809696,eu_integration,Saarland
11,0.7648,2877040,eu_integration,Berlin
12,0.6602,1973635,eu_integration,Brandenburg
13,0.6611,1265934,eu_integration,Mecklenburg-Vorpommern
14,0.6327,3118235,eu_integration,Sachsen
15,0.6284,1708066,eu_integration,Sachsen-Anhalt
16,0.6406,1614194,eu_integration,Thüringen
01,0.2939,2313578,ukraine_arms,Schleswig-Holstein
02,0.2389,1431449,ukraine_arms,Hamburg
03,0.2971,6204994,ukraine_arms,Niedersachsen
04,0.3272,550759,ukraine_arms,Bremen
05,0.3004,14256301,ukraine_arms,Nordrhein-Westfalen
06,0.2895,4910495,ukraine_arms,Hessen
07,0.302,3149298,ukraine_arms,Rheinland-Pfalz
08,0.3273,8784086,ukraine_arms,Baden-Württemberg
09,0.3173,10136201,ukraine_arms,Bayern
10,0.3246,809696,ukraine_arms,Saarland
11,0.3297,2877040,ukraine_arms,Berlin
12,0.4646,1973635,ukraine_arms,Brandenburg
13,0.4813,1265934,ukraine_arms,Mecklenburg-Vorpommern
14,0.5017,3118235,ukraine_arms,Sachsen
15,0.5329,1708066,ukraine_arms,Sachsen-Anhalt
16,0.5143,1614194,ukraine_arms,Thüringen
01,0.2559,2313578,voting_age_16,Schleswig-Holstein
02,0.2651,1431449,voting_age_16,Hamburg
03,0.2339,6204994,voting_age_16,Niedersachsen
04,0.2473,550759,voting_age_16,Bremen
05,0.2386,14256301,voting_age_16,Nordrhein-Westfalen
06,0.2079,4910495,voting_age_16,Hessen
07,0.219,3149298,voting_age_16,Rheinland-Pfalz
08,0.2145,8784086,voting_age_16,Baden-Württemberg
09,0.1875,10136201,voting_age_16,Bayern
10,0.2151,809696,voting_age_16,Saarland
11,0.2642,2877040,voting_age_16,Berlin
12,0.216,1973635,voting_age_16,Brandenburg
13,0.2034,1265934,voting_age_16,Mecklenburg-Vorpommern
14,0.1862,3118235,voting_age_16,Sachsen
15,0.2004,1708066,voting_age_16,Sachsen-Anhalt
16,0.2152,1614194,voting_age_16,Thüringen
01,0.5655,2313578,referendum_federal,Schleswig-Holstein
02,0.5313,1431449,referendum_federal,Hamburg
03,0.5699,6204994,referendum_federal,Niedersachsen
04,0.563,550759,referendum_federal,Bremen
05,0.5798,14256301,referendum_federal,Nordrhein-Westfalen
06,0.5736,4910495,referendum_federal,Hessen
07,0.589,3149298,referendum_federal,Rheinland-Pfalz
08,0.5948,8784086,referendum_federal,Baden-Württemberg
09,0.6005,10136201,referendum_federal,Bayern
10,0.5994,809696,referendum_federal,Saarland
11,0.6178,2877040,referendum_federal,Berlin
12,0.6334,1973635,referendum_federal,Brandenburg
13,0.6399,1265934,referendum_federal,Mecklenburg-Vorpommern
14,0.6739,3118235,referendum_federal,Sachsen
15,0.6592,1708066,referendum_federal,Sachsen-Anhalt
16,0.6709,1614194,referendum_federal,Thüringen
01,0.7559,2313578,same_sex_marriage,Schleswig-Holstein
02,0.7875,1431449,same_sex_marriage,Hamburg
03,0.744,6204994,same_sex_marriage,Niedersachsen
04,0.7752,550759,same_sex_marriage,Bremen
05,0.7369,14256301,same_sex_marriage,Nordrhein-Westfalen
06,0.7347,4910495,same_sex_marriage,Hessen
07,0.7334,3149298,same_sex_marriage,Rheinland-Pfalz
08,0.7023,8784086,same_sex_marriage,Baden-Württemberg
09,0.7027,10136201,same_sex_marriage,Bayern
10,0.7245,809696,same_sex_marriage,Saarland
11,0.7717,2877040,same_sex_marriage,Berlin
12,0.7288,1973635,same_sex_marriage,Brandenburg
13,0.7145,1265934,same_sex_marriage,Mecklenburg-Vorpommern
14,0.6624,3118235,same_sex_marriage,Sachsen
15,0.7085,1708066,same_sex_marriage,Sachsen-Anhalt
16,0.7009,1614194,same_sex_marriage,Thüringen
01,0.3347,2313578,nuclear_energy,Schleswig-Holstein
02,0.3035,1431449,nuclear_energy,Hamburg
03,0.351,6204994,nuclear_energy,Niedersachsen
04,0.3125,550759,nuclear_energy,Bremen
05,0.3552,14256301,nuclear_energy,Nordrhein-Westfalen
06,0.3636,4910495,nuclear_energy,Hessen
07,0.3762,3149298,nuclear_energy,Rheinland-Pfalz
08,0.3925,8784086,nuclear_energy,Baden-Württemberg
09,0.4104,10136201,nuclear_energy,Bayern
10,0.3872,809696,nuclear_energy,Saarland
11,0.3753,2877040,nuclear_energy,Berlin
12,0.4145,1973635,nuclear_energy,Brandenburg
13,0.409,1265934,nuclear_energy,Mecklenburg-Vorpommern
14,0.4965,3118235,nuclear_energy,Sachsen
15,0.4376,1708066,nuclear_energy,Sachsen-Anhalt
16,0.4721,1614194,nuclear_energy,Thüringen
01,0.2086,2313578,religion_orient,Schleswig-Holstein
02,0.1773,1431449,religion_orient,Hamburg
03,0.2082,6204994,religion_orient,Niedersachsen
04,0.1925,550759,religion_orient,Bremen
05,0.2348,14256301,religion_orient,Nordrhein-Westfalen
06,0.2226,4910495,religion_orient,Hessen
07,0.2315,3149298,religion_orient,Rheinland-Pfalz
08,0.2469,8784086,religion_orient,Baden-Württemberg
09,0.2618,10136201,religion_orient,Bayern
