county_code,estimate,pop,issue_id,county_name,state_code,state_name
01001,0.4299,73059,immigration_restrict,NA,01,Schleswig-Holstein
01002,0.3867,200938,immigration_restrict,NA,01,Schleswig-Holstein
01003,0.468,172750,immigration_restrict,NA,01,Schleswig-Holstein
01004,0.5368,57709,immigration_restrict,NA,01,Schleswig-Holstein
01051,0.5137,104960,immigration_restrict,NA,01,Schleswig-Holstein
01053,0.4529,160319,immigration_restrict,NA,01,Schleswig-Holstein
01054,0.473,133879,immigration_restrict,NA,01,Schleswig-Holstein
01055,0.4976,163410,immigration_restrict,NA,01,Schleswig-Holstein
01056,0.4521,256320,immigration_restrict,NA,01,Schleswig-Holstein
01057,0.4572,101237,immigration_restrict,NA,01,Schleswig-Holstein
01058,0.4454,219130,immigration_restrict,NA,01,Schleswig-Holstein
01059,0.4335,158429,immigration_restrict,NA,01,Schleswig-Holstein
01060,0.4988,218370,immigration_restrict,NA,01,Schleswig-Holstein
01061,0.505,103118,immigration_restrict,NA,01,Schleswig-Holstein
01062,0.4426,189950,immigration_restrict,NA,01,Schleswig-Holstein
02000,0.3566,1431449,immigration_restrict,NA,02,Hamburg
03101,0.4123,205239,immigration_restrict,NA,03,Niedersachsen
03102,0.5562,77790,immigration_restrict,NA,03,Niedersachsen
03103,0.5023,97718,immigration_restrict,NA,03,Niedersachsen
03151,0.4876,133790,immigration_restrict,NA,03,Niedersachsen
03153,0.5,101169,immigration_restrict,NA,03,Niedersachsen
03154,0.5029,65960,immigration_restrict,NA,03,Niedersachsen
03155,0.4688,98348,immigration_restrict,NA,03,Niedersachsen
03157,0.49,103039,immigration_restrict,NA,03,Niedersachsen
03158,0.4499,89210,immigration_restrict,NA,03,Niedersachsen
03159,0.4229,264509,immigration_restrict,NA,03,Niedersachsen
03241,0.4294,906040,immigration_restrict,NA,03,Niedersachsen
03251,0.4742,171960,immigration_restrict,NA,03,Niedersachsen
03252,0.529,118300,immigration_restrict,NA,03,Niedersachsen
03254,0.5005,213250,immigration_restrict,NA,03,Niedersachsen
